name,Fungi_3,Fungi_4,Fungi_5,BSP_3,BSP_4,BSP_5
BnIKMc,1.0 | 1.5,1.0 | 2.2,1.0 | 2.3,1.0 | 1.8,1.0 | 1.7,1.0 | 1.4
BnIKMo,1.0 | 1.0,1.0 | 1.0,1.0 | 1.6,1.0 | 1.0,1.0 | 1.7,1.0 | 1.0
BnIKMcs,1.0 | 1.1,1.0 | 2.8,1.0 | 1.2,1.0 | 2.3,1.0 | 1.5,1.0 | 2.3
BnIKMos,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 2.4,1.0 | 2.5,1.0 | 1.0
BcIKMn,1.2 | 1.0,1.2 | 1.0,1.6 | 1.0,1.5 | 1.0,1.9 | 1.0,1.1 | 1.0
BcIKMo,1.2 | 1.0,1.1 | 1.0,1.3 | 1.8,1.5 | 1.0,1.9 | 1.0,1.2 | 1.2
BcIKMos,1.5 | 1.0,2.6 | 1.1,1.3 | 2.7,1.5 | 2.3,1.9 | 1.0,1.1 | 1.0
BoIKMn,2.6 | 1.0,1.0 | 1.0,2.6 | 1.0,1.8 | 1.0,1.0 | 1.0,1.4 | 1.0
BoIKMc,1.0 | 1.1,1.0 | 1.1,2.5 | 1.2,1.4 | 1.8,1.0 | 1.7,2.0 | 2.1
BoIKMcs,2.1 | 2.4,1.0 | 2.1,1.0 | 1.4,1.4 | 2.0,1.0 | 2.7,1.0 | 2.2
BnKMc,1.0 | 1.2,1.0 | 1.8,1.0 | 2.0,1.0 | 1.2,1.0 | 2.3,1.0 | 2.5
BnKMcs,1.0 | 1.9,1.0 | 1.7,1.0 | 2.4,1.0 | 1.7,1.0 | 2.0,1.0 | 2.7
BcKMn,1.2 | 1.0,1.4 | 1.0,1.8 | 1.0,1.5 | 1.0,1.1 | 1.0,1.3 | 1.0
BoKMn,1.7 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0
BoKMc,2.1 | 2.3,1.0 | 1.2,1.0 | 2.0,1.0 | 1.2,2.5 | 2.3,1.0 | 2.3
BnKMcs,2.1 | 2.4,1.0 | 2.8,1.0 | 2.2,1.0 | 1.7,1.0 | 2.5,2.6 | 2.2
